Compound_name,Fragment,Insp_frag_found,dockedSMILES,fragSMILES,SuCOS_score,Avg_SuCOS_score
DAV-CRI-1c7-5,x0072,0,Cc1ccccc1C1c2ccccc2CN(C(=O)CCl)C1Cc1cccnc1,CS(O)(O)NCCC1CCCCC1,0.4770475823304846,0.1525639844122086
ORN-MSD-5b9-1,x0104,1,NC(=O)NCCc1c[nH]c2c(CC[NH+]3CCCOCC3)cc(F)cc12,CC(O)NCCC1CNC2CCC(F)CC12,0.5237360110468501,0.1528556797884671
MAK-UNK-af8-9,x0072,1,COC(=O)C1CC(Cc2cccc(C)c2)CCN1C(=O)CCl,CS(O)(O)NCCC1CCCCC1,0.6538202467910371,0.15605904292970793
MUS-SCH-c2f-14,x0107,1,OCc1ccncc1-c1[nH]cnc1CCl,CC(O)NC1CNCCC1C,0.5127824288632341,0.0688167291832089
MAT-GIT-dea-3,x0946,0,CC(=O)NCCc1c[nH]c2c(-c3ncoc3C)cc(C#N)c(Cl)c12,NS(O)(O)C1CCC(Br)CC1,0.5770959114162335,0.1009991928241696
ANN-UNI-263-6,x0104,1,COc1cccc(NC(=O)Nc2cccc(C#N)c2)c1,CC(O)NCCC1CNC2CCC(F)CC12,0.3844926854484965,0.06915009285024842
SER-UNI-985-2,x0107,1,O=C(CNc1ccc(Cl)c(Br)c1)NCc1cccnc1,CC(O)NC1CNCCC1C,0.38825449751407515,0.14078683069121184
CHR-SOS-709-5,x0678,1,O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1O,OC(CC1CCCCC1)NC1CCCNC1,0.4107967996709988,0.07064199184475482
MAK-UNK-1cb-8,x0195,1,NS(=O)(=O)N1CCOC(c2cccc(N3CCC(O)CC3)c2)C1,CN1CCCC2CCC(S(N)(O)O)CC21,0.4773420914484012,0.09716305414754922
JOR-UNI-61e-16,x0434,1,N#Cc1cccc(N(CC[NH+]2CCOCC2)C(=O)Nc2cccnc2)c1,OC(NC1CCCCC1)NC1CCCNC1,0.4929542596439923,0.15772353257811628
AME-NAT-624-1,x0072,1,Clc1ccc(Cn2c(C[NH+]3CCCC3)nc3ccccc32)cc1,CS(O)(O)NCCC1CCCCC1,0.42507029758368337,0.13745328286207856
BAR-COM-4e0-66,x0107,0,CC(c1cccc(NC(=O)Cc2cnccc2Cl)c1)[NH+]1CCOCC1,CC(O)NC1CNCCC1C,0.4645088550796318,0.10620042525546186
TRY-UNI-1fd-4,x0195,1,NS(=O)(=O)c1ccc2scc(C[NH+]3CCC(O)CC3)c2c1,CN1CCCC2CCC(S(N)(O)O)CC21,0.4374349943318497,0.11423028218355097
MAK-UNK-37f-9,x0946,0,O=C(Nc1cccnc1)Nc1cccc(C(=O)NCCc2c[nH]c3ccc(F)cc23)c1,NS(O)(O)C1CCC(Br)CC1,0.43812577455527996,0.10079894779765419
MAK-UNK-37f-6,x0946,0,O=C(Nc1cccnc1)Nc1cccc(C(=O)NCCc2c[nH]c3ccc(F)cc23)c1,NS(O)(O)C1CCC(Br)CC1,0.43812577455527996,0.10079894779765419
PET-SGC-05c-1,x0107,1,Cc1ccncc1NC(=O)CCN1CCCc2ccc(S(N)(=O)=O)cc21,CC(O)NC1CNCCC1C,0.4855052355372661,0.13109712188488673
WAR-XCH-b68-53,x0991,0,CC(C)[NH+](C)C1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,CCC(N)N,0.4040063679573935,0.11156511203489501
